S,1
2,1
K,10
5,11
L,13
7,9
4,6
M,10
6,13
F,17
9,5
B,8
I,8
8,4
Q,4
H,4
D,5
E,1
V,5
1,10
C,17
3,13
Y,9
A,8
T,8
