L,14
7,10
H,5
D,23
K,4
4,14
M,2
6,8
F,8
9,8
B,8
I,2
8,17
Q,8
3,12
E,9
R,4
V,4
T,4
C,8
1,2
G,3
2,4
S,2
W,6
5,4
P,3
N,4
