bits_changed,pct_ciphertext_change
0,0.0
5,0.5240963855421686
10,0.6295180722891566
15,0.7650602409638554
20,0.6626506024096386
25,0.713855421686747
30,0.7198795180722891
35,0.7680722891566265
40,0.7590361445783133
45,0.7831325301204819
50,0.6867469879518072
55,0.7650602409638554
60,0.6957831325301205
65,0.7018072289156626
70,0.7921686746987951
75,0.7951807228915663
80,0.786144578313253
85,0.8132530120481928
90,0.7590361445783133
95,0.7439759036144579
100,0.8012048192771084
105,0.7650602409638554
110,0.7680722891566265
115,0.7289156626506024
120,0.75
125,0.7108433734939759
130,0.7379518072289156
135,0.7409638554216867
140,0.6807228915662651
145,0.7018072289156626
150,0.7710843373493976
155,0.7259036144578314
160,0.7951807228915663
165,0.7530120481927711
170,0.7981927710843374
175,0.7801204819277109
180,0.7259036144578314
185,0.7289156626506024
190,0.7710843373493976
195,0.7650602409638554
200,0.7228915662650602
205,0.7530120481927711
210,0.75
215,0.8042168674698795
220,0.7590361445783133
225,0.7439759036144579
230,0.7409638554216867
235,0.7409638554216867
240,0.7650602409638554
245,0.7469879518072289
250,0.7349397590361446
255,0.7319277108433735
