num_round_functions,encryption_strength_score
1,0.002218934911242604
10,0.002235469448584203
100,0.0019788918205804755
1,0.0022488755622188912
10,0.0022255192878338284
100,0.0017261219792865357
1,0.0021707670043415346
10,0.002384737678855327
100,0.0022288261515601795
1,0.002369668246445498
10,0.0020833333333333337
100,0.0019132653061224487
1,0.0021276595744680856
10,0.002300613496932516
100,0.0017482517482517483
1,0.0023622047244094497
10,0.002304147465437788
100,0.001976284584980237
1,0.0019710906701708285
10,0.002054794520547946
100,0.0019762845849802375
1,0.0025423728813559325
10,0.0021802325581395353
100,0.0020435967302452314
1,0.0021770682148040637
10,0.0024232633279483045
100,0.0023183925811437406
1,0.0025083612040133784
10,0.0021367521367521374
100,0.002192982456140351
1,0.0022488755622188912
10,0.0023885350318471345
100,0.0020920502092050216
1,0.002245508982035929
10,0.0021306818181818185
100,0.0022658610271903325
1,0.0020053475935828883
10,0.0023961661341853034
100,0.0020463847203274223
1,0.0022624434389140282
10,0.002384737678855326
100,0.00189873417721519
1,0.0019255455712451869
10,0.0022522522522522527
100,0.002467105263157895
1,0.0022123893805309743
10,0.0021551724137931043
100,0.002013422818791947
1,0.0024469820554649277
10,0.0021929824561403516
100,0.002164502164502165
1,0.002089136490250697
10,0.002311248073959939
100,0.002161383285302594
1,0.0023364485981308422
10,0.002192982456140351
100,0.002115655853314528
1,0.0021865889212827998
10,0.002245508982035929
100,0.0018270401948842878
1,0.0019633507853403145
10,0.002215657311669129
100,0.0017381228273464654
1,0.002471169686985174
10,0.002463054187192119
100,0.0024630541871921187
1,0.002103786816269285
10,0.0020949720670391065
100,0.0020026702269692934
1,0.001971090670170829
10,0.0021929824561403516
100,0.0019480519480519478
1,0.0024038461538461535
10,0.00180940892641737
100,0.0019762845849802375
1,0.002354788069073784
10,0.0022761760242792114
100,0.0019841269841269845
1,0.002347417840375588
10,0.002235469448584203
100,0.001989389920424403
1,0.002286585365853659
10,0.002307692307692308
100,0.001838235294117647
1,0.0020746887966804984
10,0.0023771790808240893
100,0.0020576131687242804
1,0.0020833333333333337
10,0.002439024390243903
100,0.0019920318725099606
1,0.0027272727272727275
10,0.0022488755622188912
100,0.002115655853314528
1,0.0021802325581395357
10,0.0024115755627009653
100,0.0019404915912031055
1,0.002238805970149255
10,0.0019685039370078744
100,0.0021551724137931034
1,0.002380952380952381
10,0.002262443438914028
100,0.0019505851755526663
1,0.0023364485981308422
10,0.0022727272727272735
100,0.001997336884154461
1,0.002008032128514057
10,0.0022900763358778627
100,0.0021897810218978113
1,0.0023885350318471345
10,0.002332814930015553
100,0.0018203883495145634
1,0.0023400936037441503
10,0.002351097178683386
100,0.0019329896907216502
1,0.0024390243902439033
10,0.0021520803443328554
100,0.002100840336134455
1,0.002362204724409449
10,0.0020325203252032527
100,0.002112676056338029
1,0.001997336884154461
10,0.002124645892351276
100,0.0023771790808240897
1,0.0020380434782608695
10,0.0024000000000000002
100,0.0019230769230769234
1,0.002155172413793104
10,0.0021489971346704876
100,0.002192982456140352
1,0.0020920502092050216
10,0.0021428571428571434
100,0.0018867924528301891
1,0.0021186440677966106
10,0.0021428571428571434
100,0.0019920318725099606
1,0.0021367521367521374
10,0.0021216407355021225
100,0.002358490566037736
1,0.0022288261515601786
10,0.0019946808510638305
100,0.0021459227467811167
1,0.002202643171806168
10,0.0019710906701708285
100,0.0021428571428571434
1,0.0023885350318471337
10,0.002196193265007321
100,0.0020297699594046016
1,0.0023771790808240893
10,0.0022288261515601786
100,0.0021739130434782618
1,0.002439024390243903
10,0.0022255192878338284
100,0.0023696682464454987
1,0.0024793388429752076
10,0.0022692889561270807
100,0.0019280205655526998
1,0.0019736842105263167
10,0.002533783783783785
100,0.002272727272727273
1,0.002218934911242604
10,0.0022900763358778635
100,0.002148997134670488
1,0.002252252252252253
10,0.001986754966887418
100,0.002115655853314528
1,0.002130681818181819
10,0.002164502164502165
100,0.002054794520547946
1,0.002318392581143741
10,0.0022900763358778635
100,0.0019633507853403145
1,0.0021156558533145286
10,0.00189873417721519
100,0.00207182320441989
1,0.002297090352220521
10,0.0021676300578034684
100,0.0021097046413502117
1,0.0021897810218978113
10,0.0022091310751104574
100,0.0022522522522522527
1,0.001986754966887418
10,0.0023622047244094492
100,0.0023255813953488376
1,0.0022761760242792114
10,0.0021739130434782618
100,0.0018359853121175031
1,0.0021520803443328554
10,0.0022026431718061676
100,0.00203527815468114
1,0.002100840336134454
10,0.002130681818181819
100,0.0021676300578034684
1,0.0021897810218978104
10,0.002202643171806168
100,0.00206896551724138
1,0.0020804438280166444
10,0.0023437500000000003
100,0.0020632737276478686
1,0.001986754966887418
